"" "zz2"
0 2.23747758781882
1 -0.219906369386361
0 -1.48759334605716
1 0.205730452490327
0 -0.352399636664015
1 0.704785847993747
0 0.164499036105498
1 0.78662275950261
0 -0.468418636406797
1 -0.0678234666124264
0 0.857126053033646
1 -0.947999321361765
0 1.63427441254905
1 1.45147584809361
0 2.06611207493396
1 0.984048213469289
0 -2.35137018526856
1 -0.599665835354523
0 -1.93493891424605
1 -0.642863390420481
0 0.936362562549672
1 2.55737047400243
0 0.665194488302932
1 1.56745050037246
0 1.92698902631164
1 0.828271227840894
0 -0.136550735047762
1 1.4407501495234
0 1.1557865909389
1 -0.601737080225278
0 -1.52520320282322
1 0.159651252812262
0 -0.819880153656089
1 1.83770310026625
0 0.411612172628662
1 1.28542757417239
0 0.933247262572291
1 -0.0527640901304435
0 -1.00502637881317
1 0.563621631257488
0 -0.697319970074168
1 0.305795527265271
0 -0.683423396313209
1 -1.04940030015676
0 1.0794811468819
1 0.658255794911391
0 0.715804575177455
1 1.17296335761833
0 1.95288028035126
1 0.511621744481192
