"" "" "" "" "" "" "" "" "" "cs"
0 NA NA NA NA NA NA NA NA 0.231637589167804
0 NA NA NA NA NA NA NA NA 0.268556067021564
0 0.781717657899636 1.60971765789964 2.75371765789964 2.95871765789964 3.26071765789964 NA NA NA 3.36542628705502
0 1.20484577657822 NA NA NA NA NA NA NA 2.75076761725359
0 0.133750312248783 1.53775031224878 1.67675031224878 2.38875031224878 2.84375031224878 2.95875031224878 3.30275031224878 3.32975031224878 4.20627933810465
0 0.055886656552944 2.32788665655294 2.74288665655294 2.99188665655294 4.43788665655294 NA NA NA 4.61499361554161
0 0.26615540583404 0.33915540583404 1.13615540583404 NA NA NA NA NA 1.72144191572443
0 0.0287437577862788 NA NA NA NA NA NA NA 1.08190527418628
0 0.341708468702354 3.04470846870235 3.15170846870235 NA NA NA NA NA 4.41805572714657
0 1.49592072849536 1.51292072849536 NA NA NA NA NA NA 1.99289769865572
0 1.7726299466753 NA NA NA NA NA NA NA 3.2541037152987
0 1.44460910172085 1.46460910172085 NA NA NA NA NA NA 2.32592240674421
0 0.101394093117069 0.350394093117069 1.84639409311707 2.61539409311707 4.06039409311707 NA NA NA 4.55049561220221
0 0.136852956625701 2.6768529566257 3.0818529566257 NA NA NA NA NA 3.45172501401976
0 0.686104111811992 0.698104111811992 1.74310411181199 NA NA NA NA NA 4.8010192788206
0 NA NA NA NA NA NA NA NA 1.42963842488825
0 NA NA NA NA NA NA NA NA 1.63040756713599
0 2.15511787477343 NA NA NA NA NA NA NA 3.74508632929064
0 0.112119180838418 1.02311918083842 1.65811918083842 1.79411918083842 2.40911918083842 2.83811918083842 NA NA 3.24697303469293
0 0.831758543995352 3.03875854399535 3.68175854399535 3.79275854399535 NA NA NA NA 4.66050341376103
0 1.72190539751011 NA NA NA NA NA NA NA 1.77721442771144
0 NA NA NA NA NA NA NA NA 0.865909679559991
0 0.265047171544084 0.334047171544084 0.851047171544083 1.66304717154408 1.70604717154408 1.79004717154408 NA NA 1.83819650206715
0 3.86555971328463 3.96855971328463 4.02155971328463 NA NA NA NA NA 4.16620203177445
0 1.09739556007529 NA NA NA NA NA NA NA 2.38599083037116
0 0.893982985794489 1.24698298579449 1.67298298579449 2.43098298579449 NA NA NA NA 4.8518747347407
0 0.126877572203276 0.526877572203276 1.47487757220328 2.16587757220328 2.24987757220328 NA NA NA 2.43442344712093
0 NA NA NA NA NA NA NA NA 0.204099126858637
0 0.749591940669065 0.841591940669065 2.02459194066906 2.37659194066906 2.77559194066906 3.84859194066906 4.13059194066906 NA 4.39807468559593
0 0.372182905895244 2.40318290589524 2.42118290589524 NA NA NA NA NA 3.72468535322696
0 2.19789547915864 2.50089547915864 NA NA NA NA NA NA 4.45627723471262
0 1.02806233562475 NA NA NA NA NA NA NA 4.61423446773551
0 0.0321291961382692 0.569129196138269 2.03512919613827 2.54312919613827 4.41912919613827 NA NA NA 4.58436733810231
0 0.293819384157148 0.338819384157148 NA NA NA NA NA NA 1.28954355139285
0 0.0942547616026239 0.439254761602624 1.02725476160262 2.80425476160262 3.82025476160262 4.02825476160262 NA NA 4.29118750500493
0 0.162194624868705 1.0681946248687 1.2201946248687 1.9861946248687 NA NA NA NA 2.44208616903052
0 1.21351588221063 NA NA NA NA NA NA NA 1.86870639794506
0 2.33460349977346 3.16760349977346 3.18360349977346 NA NA NA NA NA 3.42844636528753
0 0.483978437435969 NA NA NA NA NA NA NA 1.89332704991102
0 0.331398949892847 2.56239894989285 2.67339894989285 2.67939894989285 NA NA NA NA 3.03659470984712
0 1.43717084495166 3.14717084495166 3.38417084495166 NA NA NA NA NA 4.67434656224214
0 NA NA NA NA NA NA NA NA 0.481195244938135
0 1.37317235470013 1.79717235470013 2.93817235470013 3.63617235470013 4.45517235470013 NA NA NA 4.89253559382632
0 0.242634209807333 0.580634209807333 1.65463420980733 NA NA NA NA NA 2.70860458258539
0 0.91205692125529 1.01105692125529 1.17705692125529 1.74405692125529 1.83305692125529 NA NA NA 2.45916942483746
0 NA NA NA NA NA NA NA NA 1.55370120308362
0 0.12823736598021 0.22523736598021 NA NA NA NA NA NA 1.271767988801
0 0.203037294417306 0.318037294417306 0.502037294417306 NA NA NA NA NA 0.671122316271067
0 0.310386697871053 0.774386697871053 1.87338669787105 2.38138669787105 2.89938669787105 3.14338669787105 3.82338669787105 3.99238669787105 4.32065133121796
0 1.30242521670723 NA NA NA NA NA NA NA 2.54689883440733
